awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Consultinvest VL Pesaro,Gemani Basket Brescia ,74,101,73,73,101.8,138.9,138.9,101.8,0.516,0.657,0.138,0.138,0.292,0.19399999999999998,0.161,0.19399999999999998
Flexx Pistoia,Gemani Basket Brescia,74,86,76,76,97.3,113.1,113.1,97.3,0.424,0.649,0.079,0.145,0.125,0.051,0.18100000000000002,0.21100000000000002
Gemani Basket Brescia,Virtus Roma,83,53,74,74,112.5,71.8,71.8,112.5,0.6,0.331,0.136,0.149,0.075,0.265,0.077,0.154
Vanoli Cremona,Gemani Basket Brescia,76,91,70,70,108.7,130.1,130.1,108.7,0.555,0.613,0.18600000000000003,0.157,0.19,0.303,0.273,0.242
Gemani Basket Brescia,Red October Cantu,93,82,71,71,131.3,115.8,115.8,131.3,0.5760000000000001,0.517,0.099,0.113,0.235,0.259,0.258,0.379
Umana Venezia,Gemani Basket Brescia,64,70,72,72,89.3,97.7,97.7,89.3,0.47700000000000004,0.45,0.293,0.16699999999999998,0.33299999999999996,0.24100000000000002,0.031,0.267
Gemani Basket Brescia,Grissin Bon Reggio Emilia,87,81,69,69,125.4,116.8,116.8,125.4,0.5870000000000001,0.593,0.159,0.10099999999999999,0.258,0.14300000000000002,0.20600000000000002,0.18600000000000003
EA7 Emporio Armani Milano,Gemani Basket Brescia,72,78,70,70,103.4,112.0,112.0,103.4,0.43700000000000006,0.57,0.129,0.201,0.33299999999999996,0.222,0.27,0.228
Enel Brindisi,Gemani Basket Brescia,86,82,73,73,117.2,111.8,111.8,117.2,0.516,0.524,0.136,0.16399999999999998,0.303,0.25,0.355,0.27399999999999997
Gemani Basket Brescia,Dolomiti Energia Trento,56,63,63,63,89.1,100.2,100.2,89.1,0.395,0.475,0.14300000000000002,0.159,0.324,0.275,0.113,0.11900000000000001
Pallacanestro Trieste 2004,Gemani Basket Brescia,74,76,75,75,99.2,101.9,101.9,99.2,0.534,0.469,0.228,0.201,0.188,0.371,0.207,0.231
EA7 Emporio Armani Milano,Universo De'Longhi Treviso,75,53,67,67,112.3,79.3,79.3,112.3,0.607,0.35,0.195,0.15,0.171,0.259,0.125,0.183
EA7 Emporio Armani Milano,Pallacanestro Trieste 2004,88,73,80,80,110.1,91.3,91.3,110.1,0.573,0.469,0.163,0.2,0.125,0.172,0.27399999999999997,0.203
Enel Brindisi,EA7 Emporio Armani Milano,92,89,74,74,123.8,119.8,119.8,123.8,0.569,0.649,0.121,0.22899999999999998,0.33299999999999996,0.19399999999999998,0.139,0.263
EA7 Emporio Armani Milano,Vanoli Cremona,78,82,70,70,110.8,116.5,116.5,110.8,0.5,0.539,0.19899999999999998,0.185,0.222,0.324,0.5920000000000001,0.203
EA7 Emporio Armani Milano,Virtus Roma,79,73,76,76,104.5,96.6,96.6,104.5,0.544,0.49200000000000005,0.198,0.198,0.21899999999999997,0.19399999999999998,0.298,0.233
OpenJobMetis Varese,EA7 Emporio Armani Milano,69,93,65,65,106.4,143.4,143.4,106.4,0.364,0.722,0.154,0.12300000000000001,0.5,0.12,0.318,0.622
Flexx Pistoia,EA7 Emporio Armani Milano,63,83,67,67,93.4,123.0,123.0,93.4,0.39799999999999996,0.555,0.163,0.11900000000000001,0.281,0.25,0.271,0.188
EA7 Emporio Armani Milano,Fortituto Kontatto Bologna,80,85,77,77,103.4,109.9,109.9,103.4,0.473,0.54,0.142,0.168,0.385,0.184,0.12,0.27
Grissin Bon Reggio Emilia,EA7 Emporio Armani Milano,78,89,72,72,107.7,122.9,122.9,107.7,0.525,0.48100000000000004,0.193,0.09699999999999999,0.242,0.409,0.271,0.195
EA7 Emporio Armani Milano,Consultinvest VL Pesaro,71,65,71,71,99.7,91.3,91.3,99.7,0.45899999999999996,0.425,0.16899999999999998,0.14,0.25,0.19399999999999998,0.24600000000000002,0.233
EA7 Emporio Armani Milano,Umana Venezia,71,70,67,67,106.0,104.5,104.5,106.0,0.547,0.561,0.209,0.11900000000000001,0.214,0.13,0.245,0.105
Dolomiti Energia Trento,EA7 Emporio Armani Milano,69,81,71,71,97.7,114.7,114.7,97.7,0.49200000000000005,0.563,0.184,0.198,0.28,0.226,0.129,0.321
Red October Cantu,EA7 Emporio Armani Milano,89,83,73,73,121.8,113.6,113.6,121.8,0.64,0.5,0.16399999999999998,0.109,0.138,0.281,0.281,0.297
Universo De'Longhi Treviso,EA7 Emporio Armani Milano,67,91,71,71,93.8,127.4,127.4,93.8,0.418,0.585,0.168,0.182,0.37,0.22,0.16399999999999998,0.7659999999999999
Pallacanestro Trieste 2004,EA7 Emporio Armani Milano,67,85,74,74,90.5,114.8,114.8,90.5,0.377,0.612,0.18899999999999997,0.203,0.42100000000000004,0.188,0.16399999999999998,0.24100000000000002
EA7 Emporio Armani Milano,Enel Brindisi,77,74,70,70,109.7,105.4,105.4,109.7,0.509,0.405,0.19899999999999998,0.214,0.24100000000000002,0.42100000000000004,0.434,0.365
Vanoli Cremona,EA7 Emporio Armani Milano,74,77,77,77,96.4,100.3,100.3,96.4,0.478,0.515,0.195,0.14300000000000002,0.25,0.107,0.132,0.154
Red October Cantu,Enel Brindisi,69,64,68,68,101.6,94.2,94.2,101.6,0.49200000000000005,0.43700000000000006,0.147,0.11800000000000001,0.2,0.226,0.14800000000000002,0.14300000000000002
Enel Brindisi,Virtus Roma,87,63,76,76,114.0,82.5,82.5,114.0,0.5379999999999999,0.44299999999999995,0.196,0.262,0.29,0.273,0.242,0.14800000000000002
Consultinvest VL Pesaro,Enel Brindisi ,99,108,82,82,121.2,132.2,132.2,121.2,0.615,0.667,0.122,0.122,0.233,0.222,0.10800000000000001,0.107
Enel Brindisi,OpenJobMetis Varese ,78,102,77,77,100.8,131.9,131.9,100.8,0.509,0.636,0.207,0.168,0.28600000000000003,0.257,0.35100000000000003,0.273
Umana Venezia,Enel Brindisi,71,75,73,73,97.7,103.2,103.2,97.7,0.5329999999999999,0.5,0.248,0.124,0.2,0.324,0.11699999999999999,0.172
Enel Brindisi,Pallacanestro Trieste 2004,80,72,79,79,100.7,90.6,90.6,100.7,0.537,0.45299999999999996,0.17600000000000002,0.22699999999999998,0.21600000000000003,0.348,0.11900000000000001,0.068
Flexx Pistoia,Enel Brindisi ,67,100,77,77,86.6,129.3,129.3,86.6,0.405,0.652,0.11599999999999999,0.11599999999999999,0.125,0.077,0.254,0.212
Enel Brindisi,Dolomiti Energia Trento,67,78,71,71,94.7,110.2,110.2,94.7,0.42700000000000005,0.5529999999999999,0.085,0.184,0.39399999999999996,0.22,0.04,0.076
